sentence,label
"जियोर्जियोन ०१९। जेपीजी | जियोर्जियोन आंधी , ८२ × ७३ सेमी",O O O O O B-CW O O O O O
"इस क्षेत्र का सबसे प्रसिद्ध व्यंजन बिरिया है, जो चीलों और मसालों के साथ बकरी, बीफ, मटन या पोर्क का एक स्टू है।",O O O O O O B-PROD O O O O O O O O O O O O O O O O
"राजनीतिक टिप्पणीकार एंड्रयू सुलिवन ने माना कि निर्णय न्यायिक सक्रियता थी, जिससे वह कुछ असहज हैं।",O O B-PER I-PER O O O O O O O O O O O O
लाइटिंग सर्किट से उपकरणों को जोड़ने के लिए एक लैम्फोल्डर प्लग एक लाइट सॉकेट में लाइट बल्ब के स्थान पर फिट बैठता है।,O O O O O O O O O O O O O O O B-PROD I-PROD O O O O O O
तब से उन्हें तीन बार स्थानांतरित किया गया है और वर्तमान में वे राजधानी शहर कोनाक्री में स्थित हैं।,O O O O O O O O O O O O O O O B-LOC O O O
वह जर्मनी के एक अप्रवासी जोड़े में से पांच के परिवार में चौथा बच्चा था।,O B-LOC O O O O O O O O O O O O O
एक टर्मिनल ट्रैक्टर और एक नियमित सड़क के बीच अंतर ट्रक में शामिल हैं:,O O O O O O O O O O B-PROD O O O
क्रिएटिव४डी एक सर्बिया वीडियो उत्पादन संगीत वीडियो के उत्पादन में विशेषज्ञता वाली कंपनी है।,O O B-LOC B-CORP I-CORP O O O O O O O O O
"क्रिएटिव कॉमन्स ने एक ओपन एजुकेशनल रिसोर्स पॉलिसी रजिस्ट्री की मेजबानी की,",B-GRP I-GRP O O O O O O O O O O
मोसिएर के पास फिल्म जर्सी लड़की में काम करने के लिए $३५ मिलियन का तुलनात्मक रूप से बड़ा बजट था।,O O O O B-CW I-CW O O O O O O O O O O O O O O
उनका नाम मिठाई बटरस्कॉच पर एक नाटक है।,O O B-PROD B-PROD O O O O
कार्यक्रम का आयोजन कंबोडिया की राष्ट्रीय ओलंपिक समिति (एनओसीसी) द्वारा किया जाता है।,O O O B-GRP I-GRP I-GRP I-GRP I-GRP O O O O O
"अगले दिन, मार्क क्रॉफर्ड को एसोसिएट कोच के रूप में घोषित किया गया।",O O B-PER I-PER O O O O O O O O O
"जैसा कि उन्होंने बाद में कहा, ""मेरी सभी गीत लेखन सफलता के लिए, मेरे आर एल्बम अलमारियों पर पड़े थे।",O O O O O O O O O O O O O O B-CORP O O O O O
वह उन मॉडलों के समूह में से एक हैं जो कैंप फोटोग्राफर ( ग्राहम चैपमैन ) के साथ फैशन शूट कर रही हैं।,O O O O O O O O O O O O O B-PER I-PER O O O O O O O O
कंपनी को १९८२ में एक्कोर द्वारा खरीदा गया था।,O O O O B-CORP O O O O
"हँसेल और ग्रेटल , एक परी कथा जिसमें नामांकित पात्र ब्रेडक्रंब का निशान छोड़ते हैं",B-CW I-CW I-CW O O O O O O O O O O O O
कमेंट्री ट्रैक वाली परिणामी फिल्म को उनके किक क्राउड फंडेड अभियान के कुछ प्रायोजकों को रिलीज़ किया गया।,O O O O O O O B-CORP O O O O O O O O O O
"२० जनवरी - रोज मैरी मैककॉय , ९२ , गीतकार",O O O B-PER I-PER I-PER O O O O
"एटवुड के मूल चित्रण में मुख्य चरखी की धुरी को अन्य चार पहियों के रिम पर आराम करते हुए दिखाया गया है, ताकि घर्षण बल को रोलिंग-तत्व असर से कम किया जा सके।",O O O O O O O O O O O O O O O O O O O O O O O O O O B-PROD I-PROD O O O O O
"स्टेटलर ब्रदर्स , जिसका संस्करण १९८३ में",B-GRP I-GRP O O O O O
२ देश में हिट हुआ था।,O O O O O O
मेरी १ ने १५७३ से १५८४ तक के अधिकांश वर्षों में सुरक्षा के तहत और एक बार में एक महीने तक कुएं का दौरा किया।,B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O
