Word1,Word2,Similarity Score( Similarity score from word2vec*10),Ground Truth similarity score,"Label(0 for dissimilar, 1 for similar)"
मोहब्बत,सेक्स,4.3305255156826155,6.8,0
बाघ,बिल्ली,5.996534732116199,7.0,1
किताब,कागज़,6.407840596167473,7.6,1
कंप्यूटर,कीबोर्ड,6.321789173646061,7.6,1
कंप्यूटर,इंटरनेट,7.983269038764391,8.0,1
विमान,कार,7.168454215733389,6.0,1
रेलगाड़ी,कार,6.551093580696056,6.2,1
टेलीफोन,संचार,5.788380860275756,7.6,1
टेलीविजन,रेडियो,7.840642087928095,6.4,1
मीडिया,रेडियो,6.534088872812671,5.8,1
ब्रेड,मक्खन,6.9418112664612615,6.6,1
खीरा,आलू,6.759384410546387,5.8,1
चिकित्सक,नर्स,7.424001615115943,7.6,1
प्रोफ़ेसर,चिकित्सक,5.708070919917191,4.6,1
छात्र,प्रोफ़ेसर,5.271255087557388,7.0,1
होशियार,छात्र,4.5787952491149,5.2,0
होशियार,बेवकूफ,6.331541638269977,6.2,1
किताब,पुस्तकालय,4.834225083043183,7.6,0
बैंक,पैसे,6.66735944384278,8.0,1
लकड़ी,जंगल,6.4360894257580545,7.0,1
प्रोफ़ेसर,खीरा,-0.10984559597152721,0.0,0
राजा,रानी,7.502501604213007,8.2,1
बिशप,रबी,0.767589888378992,7.0,0
यरूशलेम,इजराइल,5.4814918599869475,7.8,1
पवित्र,सेक्स,4.15718795784637,1.0,0
माराडोना,फ़ुटबॉल,4.078155523780667,7.8,0
फ़ुटबॉल,सॉकर,7.987559478759987,9.0,1
फ़ुटबॉल,बास्केटबाल,6.704593460826134,6.4,1
फ़ुटबॉल,टेनिस,6.750377953592469,5.8,1
टेनिस,रैकेट,4.488102224094882,7.4,0
कानून,वकील,6.453000409807625,7.8,1
चलचित्र,पॉपकॉर्न,1.6246275004196156,6.6,0
चलचित्र,आलोचक,4.131037789234436,6.6,0
चलचित्र,थिएटर,5.338535630086322,8.4,1
पीना,कार,2.471587128667906,1.4,0
पीना,कान,4.376610573019112,0.4,0
पीना,मुंह,4.646349850259818,7.0,0
बच्चा,मां,7.309494708307288,7.2,1
पीना,मां,4.227932408837872,1.8,0
मणि,गहना,3.514596796963712,6.8,0
भट्ठी,स्टोव,6.3284045669575875,8.4,1
भोजन,फल,7.645974623477272,6.6,1
पक्षी,सारस,7.725168251616217,7.4,1
भाई,साधु,4.921555571843182,1.4,0
यात्रा,कार,5.762995881376023,6.2,1
साधु,गुलाम,3.3390106767391496,0.2,0
कांच,जादूगर,3.3260641342839152,2.0,0
पैसे,मुद्रा,6.116830587554429,8.6,1
पैसे,धन,7.875886551570932,9.2,1
पैसे,संपत्ति,6.881062616732142,8.4,1
पैसे,बैंक,6.66735944384278,8.2,1
पैसे,जमा,7.138369207216312,6.6,1
पैसे,ऑपरेशन,3.5368560282927506,2.6,0
बाघ,जैगुआर,2.7372658081397043,8.0,0
बाघ,जानवर,7.750575951461414,7.6,1
बाघ,चिड़ियाघर,6.412073878855109,6.8,1
मनोविज्ञान,चिंता,4.371106433043217,6.2,0
मनोविज्ञान,डर,3.298727341824547,5.2,0
मनोविज्ञान,डिप्रेशन,4.4167308096922095,7.0,0
मनोविज्ञान,क्लिनिक,4.53177603989999,6.4,0
मनोविज्ञान,चिकित्सक,6.010799296218425,7.0,1
मनोविज्ञान,मन,3.808667778816796,7.4,0
मनोविज्ञान,स्वास्थ्य,5.971482020670134,6.2,1
मनोविज्ञान,विज्ञान,8.304848531739678,7.0,1
मनोविज्ञान,अनुशासन,6.143223472503144,4.2,1
Accuracy : ,72.3076923076923,,,
