Word1,Word2,Similarity Score( Similarity score from word2vec*10),Ground Truth similarity score,"Label(0 for dissimilar, 1 for similar)"
मोहब्बत,सेक्स,4.112745821475983,6.8,0
बाघ,बिल्ली,6.974892616271973,7.0,1
किताब,कागज़,5.985890626907349,7.6,1
कंप्यूटर,कीबोर्ड,7.53007709980011,7.6,1
कंप्यूटर,इंटरनेट,8.131584525108337,8.0,1
विमान,कार,7.014315128326416,6.0,1
रेलगाड़ी,कार,6.653253436088562,6.2,1
टेलीफोन,संचार,6.113987565040588,7.6,1
टेलीविजन,रेडियो,8.476101160049438,6.4,1
मीडिया,रेडियो,6.366760730743408,5.8,1
ब्रेड,मक्खन,7.680883407592773,6.6,1
खीरा,आलू,8.642041087150574,5.8,1
चिकित्सक,नर्स,7.309511303901672,7.6,1
प्रोफ़ेसर,चिकित्सक,6.19077205657959,4.6,1
छात्र,प्रोफ़ेसर,5.5804139375686646,7.0,1
होशियार,छात्र,5.130172371864319,5.2,1
होशियार,बेवकूफ,6.153295636177063,6.2,1
किताब,पुस्तकालय,5.099877715110779,7.6,1
बैंक,पैसे,5.893449187278748,8.0,1
लकड़ी,जंगल,6.346297860145569,7.0,1
प्रोफ़ेसर,खीरा,1.5091772377490997,0.0,0
राजा,रानी,7.525456547737122,8.2,1
बिशप,रबी,1.172432079911232,7.0,0
यरूशलेम,इजराइल,5.763266682624817,7.8,1
पवित्र,सेक्स,2.694661021232605,1.0,0
माराडोना,फ़ुटबॉल,7.882922291755676,7.8,1
फ़ुटबॉल,सॉकर,8.880375027656555,9.0,1
फ़ुटबॉल,बास्केटबाल,7.83748984336853,6.4,1
फ़ुटबॉल,टेनिस,8.265293836593628,5.8,1
टेनिस,रैकेट,5.7451993227005005,7.4,1
कानून,वकील,5.455710291862488,7.8,1
चलचित्र,पॉपकॉर्न,3.934198319911957,6.6,0
चलचित्र,आलोचक,3.8334178924560547,6.6,0
चलचित्र,थिएटर,6.506989598274231,8.4,1
पीना,कार,4.159301817417145,1.4,0
पीना,कान,4.91963654756546,0.4,0
पीना,मुंह,5.231119990348816,7.0,1
बच्चा,मां,5.782908201217651,7.2,1
पीना,मां,4.072490930557251,1.8,0
मणि,गहना,4.77312445640564,6.8,0
भट्ठी,स्टोव,7.744543552398682,8.4,1
भोजन,फल,6.963860392570496,6.6,1
पक्षी,सारस,9.14248526096344,7.4,1
भाई,साधु,4.011827707290649,1.4,0
यात्रा,कार,4.8428767919540405,6.2,0
साधु,गुलाम,2.9473447799682617,0.2,0
कांच,जादूगर,4.5029667019844055,2.0,0
पैसे,मुद्रा,5.4985374212265015,8.6,1
पैसे,धन,6.73179030418396,9.2,1
पैसे,संपत्ति,6.241676211357117,8.4,1
पैसे,बैंक,5.893449187278748,8.2,1
पैसे,जमा,6.243771910667419,6.6,1
पैसे,ऑपरेशन,4.203757345676422,2.6,0
बाघ,जैगुआर,5.031123161315918,8.0,1
बाघ,जानवर,7.669290900230408,7.6,1
बाघ,चिड़ियाघर,7.363624572753906,6.8,1
मनोविज्ञान,चिंता,3.8289475440979004,6.2,0
मनोविज्ञान,डर,2.490256130695343,5.2,0
मनोविज्ञान,डिप्रेशन,5.321744084358215,7.0,1
मनोविज्ञान,क्लिनिक,5.237718820571899,6.4,1
मनोविज्ञान,चिकित्सक,6.241835951805115,7.0,1
मनोविज्ञान,मन,4.440144896507263,7.4,0
मनोविज्ञान,स्वास्थ्य,5.524333119392395,6.2,1
मनोविज्ञान,विज्ञान,8.48997950553894,7.0,1
मनोविज्ञान,अनुशासन,6.586152911186218,4.2,1
Accuracy : ,83.07692307692308,,,
