Word1,Word2,Similarity Score( Similarity score from word2vec*10),Ground Truth similarity score,"Label(0 for dissimilar, 1 for similar)"
मोहब्बत,सेक्स,2.907281517982483,6.8,0
बाघ,बिल्ली,4.952309727668762,7.0,1
किताब,कागज़,4.975152313709259,7.6,1
कंप्यूटर,कीबोर्ड,7.109529376029968,7.6,1
कंप्यूटर,इंटरनेट,7.5766921043396,8.0,1
विमान,कार,5.671210885047913,6.0,1
रेलगाड़ी,कार,6.380333304405212,6.2,1
टेलीफोन,संचार,3.8968202471733093,7.6,0
टेलीविजन,रेडियो,7.579631805419922,6.4,1
मीडिया,रेडियो,3.8633540272712708,5.8,0
ब्रेड,मक्खन,7.40522563457489,6.6,1
खीरा,आलू,7.609177827835083,5.8,1
चिकित्सक,नर्स,6.815500855445862,7.6,1
प्रोफ़ेसर,चिकित्सक,4.183706343173981,4.6,1
छात्र,प्रोफ़ेसर,4.117801785469055,7.0,1
होशियार,छात्र,0.958930030465126,5.2,0
होशियार,बेवकूफ,5.6651633977890015,6.2,1
किताब,पुस्तकालय,2.7171656489372253,7.6,0
बैंक,पैसे,3.7189343571662903,8.0,0
लकड़ी,जंगल,4.945583641529083,7.0,1
प्रोफ़ेसर,खीरा,0.19245509058237076,0.0,0
राजा,रानी,6.203163266181946,8.2,1
बिशप,रबी,-0.7920496165752411,7.0,0
यरूशलेम,इजराइल,4.772808849811554,7.8,1
पवित्र,सेक्स,0.9219294786453247,1.0,0
माराडोना,फ़ुटबॉल,6.648805737495422,7.8,1
फ़ुटबॉल,सॉकर,8.32990288734436,9.0,1
फ़ुटबॉल,बास्केटबाल,7.287213206291199,6.4,1
फ़ुटबॉल,टेनिस,7.290949821472168,5.8,1
टेनिस,रैकेट,2.6880577206611633,7.4,0
कानून,वकील,3.4623488783836365,7.8,0
चलचित्र,पॉपकॉर्न,1.8384400010108948,6.6,0
चलचित्र,आलोचक,2.2521236538887024,6.6,0
चलचित्र,थिएटर,4.249257445335388,8.4,1
पीना,कार,0.06323736626654863,1.4,0
पीना,कान,0.861155241727829,0.4,0
पीना,मुंह,1.8902437388896942,7.0,0
बच्चा,मां,4.881158769130707,7.2,1
पीना,मां,1.7110487818717957,1.8,0
मणि,गहना,2.907707691192627,6.8,0
भट्ठी,स्टोव,7.090319395065308,8.4,1
भोजन,फल,5.5765920877456665,6.6,1
पक्षी,सारस,8.298599123954773,7.4,1
भाई,साधु,1.9574223458766937,1.4,0
यात्रा,कार,3.0940470099449158,6.2,0
साधु,गुलाम,1.8205593526363373,0.2,0
कांच,जादूगर,2.560524642467499,2.0,0
पैसे,मुद्रा,2.1680492162704468,8.6,0
पैसे,धन,6.089306473731995,9.2,1
पैसे,संपत्ति,4.108520150184631,8.4,1
पैसे,बैंक,3.7189343571662903,8.2,0
पैसे,जमा,3.57285737991333,6.6,0
पैसे,ऑपरेशन,0.9393736720085144,2.6,0
बाघ,जैगुआर,2.116687595844269,8.0,0
बाघ,जानवर,6.60755455493927,7.6,1
बाघ,चिड़ियाघर,5.781770348548889,6.8,1
मनोविज्ञान,चिंता,1.3594137132167816,6.2,0
मनोविज्ञान,डर,-0.8221645653247833,5.2,0
मनोविज्ञान,डिप्रेशन,2.7985337376594543,7.0,0
मनोविज्ञान,क्लिनिक,2.2576481103897095,6.4,0
मनोविज्ञान,चिकित्सक,3.8230034708976746,7.0,0
मनोविज्ञान,मन,2.053752988576889,7.4,0
मनोविज्ञान,स्वास्थ्य,3.799627423286438,6.2,0
मनोविज्ञान,विज्ञान,7.578861713409424,7.0,1
मनोविज्ञान,अनुशासन,4.584106802940369,4.2,1
Accuracy : ,61.53846153846154,,,
