Word1,Word2,Similarity Score( Similarity score from word2vec*10),Ground Truth similarity score,"Label(0 for dissimilar, 1 for similar)"
मोहब्बत,सेक्स,3.8873428106307983,6.8,0
बाघ,बिल्ली,6.253619194030762,7.0,1
किताब,कागज़,5.756130218505859,7.6,1
कंप्यूटर,कीबोर्ड,6.722087860107422,7.6,1
कंप्यूटर,इंटरनेट,7.179459929466248,8.0,1
विमान,कार,6.394352316856384,6.0,1
रेलगाड़ी,कार,6.652937531471252,6.2,1
टेलीफोन,संचार,5.479849576950073,7.6,1
टेलीविजन,रेडियो,7.466254830360413,6.4,1
मीडिया,रेडियो,5.544226169586182,5.8,1
ब्रेड,मक्खन,7.311728596687317,6.6,1
खीरा,आलू,8.271246552467346,5.8,1
चिकित्सक,नर्स,7.021421790122986,7.6,1
प्रोफ़ेसर,चिकित्सक,5.318654179573059,4.6,1
छात्र,प्रोफ़ेसर,4.931893944740295,7.0,0
होशियार,छात्र,3.72001975774765,5.2,0
होशियार,बेवकूफ,6.193171739578247,6.2,1
किताब,पुस्तकालय,4.463296830654144,7.6,0
बैंक,पैसे,4.85005646944046,8.0,0
लकड़ी,जंगल,5.288180112838745,7.0,1
प्रोफ़ेसर,खीरा,0.8579070866107941,0.0,0
राजा,रानी,6.694445013999939,8.2,1
बिशप,रबी,0.8331266790628433,7.0,0
यरूशलेम,इजराइल,4.983847439289093,7.8,0
पवित्र,सेक्स,2.425806224346161,1.0,0
माराडोना,फ़ुटबॉल,6.930302381515503,7.8,1
फ़ुटबॉल,सॉकर,8.426071405410767,9.0,1
फ़ुटबॉल,बास्केटबाल,7.249078750610352,6.4,1
फ़ुटबॉल,टेनिस,7.415844202041626,5.8,1
टेनिस,रैकेट,4.973634779453278,7.4,0
कानून,वकील,5.364931225776672,7.8,1
चलचित्र,पॉपकॉर्न,4.021348059177399,6.6,0
चलचित्र,आलोचक,3.190009891986847,6.6,0
चलचित्र,थिएटर,4.818366765975952,8.4,0
पीना,कार,2.041507363319397,1.4,0
पीना,कान,3.1792905926704407,0.4,0
पीना,मुंह,4.266375303268433,7.0,0
बच्चा,मां,5.698374509811401,7.2,1
पीना,मां,2.375793904066086,1.8,0
मणि,गहना,3.8758626580238342,6.8,0
भट्ठी,स्टोव,7.105972766876221,8.4,1
भोजन,फल,5.895434617996216,6.6,1
पक्षी,सारस,8.236675262451172,7.4,1
भाई,साधु,3.1637904047966003,1.4,0
यात्रा,कार,4.361547827720642,6.2,0
साधु,गुलाम,2.9549232125282288,0.2,0
कांच,जादूगर,3.535125255584717,2.0,0
पैसे,मुद्रा,4.165174961090088,8.6,0
पैसे,धन,6.51180624961853,9.2,1
पैसे,संपत्ति,5.552644729614258,8.4,1
पैसे,बैंक,4.85005646944046,8.2,0
पैसे,जमा,4.878485202789307,6.6,0
पैसे,ऑपरेशन,2.780091166496277,2.6,0
बाघ,जैगुआर,4.780704975128174,8.0,0
बाघ,जानवर,7.2665780782699585,7.6,1
बाघ,चिड़ियाघर,6.862779855728149,6.8,1
मनोविज्ञान,चिंता,3.535108268260956,6.2,0
मनोविज्ञान,डर,2.2118134796619415,5.2,0
मनोविज्ञान,डिप्रेशन,4.024216830730438,7.0,0
मनोविज्ञान,क्लिनिक,4.525316059589386,6.4,0
मनोविज्ञान,चिकित्सक,5.112589001655579,7.0,1
मनोविज्ञान,मन,4.022969901561737,7.4,0
मनोविज्ञान,स्वास्थ्य,5.202593207359314,6.2,1
मनोविज्ञान,विज्ञान,7.954474687576294,7.0,1
मनोविज्ञान,अनुशासन,5.455807447433472,4.2,1
Accuracy : ,61.53846153846154,,,
