sentence,label
"१४९२ में एक चार्टर के आधार पर, उसके पिता ने उसे वाडोविस के उत्तराधिकारी के रूप में छोड़ दिया।",O O O O O O O O O O O B-LOC O O O O O O O
इस विश्वविद्यालय को ओडिशा के नॉलेज हब में से एक कहा जाता है।,O O O B-LOC O O O O O O O O O
"इस तरह का पहला बेड़ा, आर12 , १९४८ में सेवा में लगाया गया था।",O O O O O B-PROD O O O O O O O O
"इस बिंदु पर, वायरल संजीन को अज्ञात तंत्र द्वारा नाभिक में ले जाया जाता है और प्रति सेल १० २०० वायरल जीनोम की एक प्रतिलिपि संख्या पर खुद को स्थापित करता है।",O O O O B-PROD O O O O O O O O O O O O O O O O O O O O O O O O O O O
"ग्वाटेमाला में, कमजोर तूफान ने अत्यधिक वर्षा की जिससे व्यापक बाढ़ आई।",B-LOC O O O O O O O O O O O
जहाजों को किराए पर लेने और प्रबंधित करने के लिए एजेंसी को पहले तीन वर्षों के लिए डोडवेल एंड कंपनी द्वारा सुरक्षित किया गया था।,O O O O O O O O O O O O O O O O O B-CORP I-CORP I-CORP O O O O O
इस्लामिक सहकारिता का संगठन के ५वें महासचिव के रूप में भी कार्य किया।,B-GRP I-GRP I-GRP I-GRP O O O O O O O O O
इसके बाद उन्होंने साहित्यिक समाचार पत्र द्रिता (लाइट) के लिए काम किया।,O O O O O O B-CW O O O O O
वह २००९ में एस्पोर्टे क्लब बाहिया के पेशेवर समूह में शामिल हुए।,O O O B-GRP I-GRP I-GRP O O O O O O
"मोंटागु विलियम विल्बरफोर्स के मित्र और समर्थक थे, और इस प्रकार दास व्यापार के उन्मूलन के पक्षधर थे।",O B-PER I-PER O O O O O O O O O O O O O O O
"आमतौर पर, मैकरोस को १५वीं सदी के विशिष्ट परिधान पहनाए जाते हैं, और वे जिस संस्था का प्रतिनिधित्व करते हैं, उसके हथियारों के कोट के साथ टैबर्ड पहनते हैं।",O O O O O O O O O O O O O O O O O O O O O O O O O O B-PROD O O
पहले और आखिरी वाले बीबीसी द्वारा निर्मित किए गए थे।,O O O O B-CORP O O O O O
इसका वर्णन १९१८ में जॉर्ज फ्रांसिस हैम्पसन द्वारा किया गया था।,O O O O B-PER I-PER I-PER O O O O
तली हुई गेंदों को एक विशेष सांचे में एक टीले में ढेर किया जाता है और गर्म मधु से भीग दिया जाता है।,O O O O O O O O O O O O O O O O O B-PROD O O O O O
